Timestamp,NodeCount,NodeCpuSum,PeakWorkingSetMB
2026-08-10T04:28:46.1282369-04:00,12,77.61,48.9
2026-08-10T04:29:01.1651530-04:00,13,99.88,1660.4
2026-08-10T04:29:16.1747211-04:00,13,141,2346.5
2026-08-10T04:29:31.1905078-04:00,13,187.36,2778.6
2026-08-10T04:29:46.2030594-04:00,13,232.69,2764.2
2026-08-10T04:30:01.2410653-04:00,13,276.73,2770
2026-08-10T04:30:16.2576946-04:00,13,322.33,2760.9
2026-08-10T04:30:31.2731396-04:00,13,377.86,2878.4
2026-08-10T04:30:46.2931046-04:00,13,433.98,2854.6
2026-08-10T04:31:01.3012319-04:00,13,489.06,2917.7
2026-08-10T04:31:16.3274240-04:00,14,514.97,3557.3
2026-08-10T04:31:31.3374834-04:00,14,536.83,1665.6
2026-08-10T04:31:46.3564848-04:00,13,530.3,680.2
2026-08-10T04:32:01.3711854-04:00,13,557.28,742.6
2026-08-10T04:32:16.3796579-04:00,13,580.64,1353.7
2026-08-10T04:32:31.3982530-04:00,13,599.84,2209.4
2026-08-10T04:32:46.4107668-04:00,13,616.42,2375.5
