Timestamp,NodeCount,NodeCpuSum,PeakWorkingSetMB
2026-08-10T04:23:30.3494829-04:00,16,83.14,281.4
2026-08-10T04:23:45.3891196-04:00,13,96.06,1153.7
2026-08-10T04:24:00.3994818-04:00,13,118.17,1712
2026-08-10T04:24:15.4159068-04:00,13,160.64,2232.6
2026-08-10T04:24:30.4253204-04:00,13,211.03,2799.2
2026-08-10T04:24:45.4414446-04:00,13,263.2,2767.3
2026-08-10T04:25:00.4534343-04:00,13,308.75,2795.2
2026-08-10T04:25:15.4613902-04:00,13,352.62,2787.6
2026-08-10T04:25:30.4777004-04:00,13,396.28,3075.5
2026-08-10T04:25:45.4900516-04:00,13,445.55,3040.8
2026-08-10T04:26:00.5055990-04:00,13,489.17,3002.4
2026-08-10T04:26:15.5195506-04:00,13,534.61,2986.9
2026-08-10T04:26:30.5298300-04:00,13,563.67,2796.9
2026-08-10T04:26:45.5477098-04:00,13,584.84,2991.4
2026-08-10T04:27:00.5705970-04:00,14,602.67,751
2026-08-10T04:27:15.5899125-04:00,24,607.22,651.8
2026-08-10T04:27:30.5997878-04:00,13,611.45,1099.7
2026-08-10T04:27:45.6188915-04:00,13,636.53,1666.6
2026-08-10T04:28:00.6418007-04:00,13,659.25,1657.3
2026-08-10T04:28:15.6636348-04:00,13,679.55,2393.8
2026-08-10T04:28:30.6720814-04:00,13,695.7,2980.7
