Timestamp,NodeCount,NodeCpuSum,PeakWorkingSetMB
2026-08-10T04:33:10.2225070-04:00,12,77.89,24.9
2026-08-10T04:33:25.2601648-04:00,13,101.36,1731.4
2026-08-10T04:33:40.2763486-04:00,13,144.61,2353.1
2026-08-10T04:33:55.2935957-04:00,13,191.2,2829
2026-08-10T04:34:10.3085680-04:00,13,237.09,2792
2026-08-10T04:34:25.3346991-04:00,13,281.23,2812.9
2026-08-10T04:34:40.3433804-04:00,13,329.58,2819.4
2026-08-10T04:34:55.3540900-04:00,13,383.91,2824.2
2026-08-10T04:35:10.3728522-04:00,13,439.84,2871.1
2026-08-10T04:35:25.3959354-04:00,13,494.3,2855.4
2026-08-10T04:35:40.4169414-04:00,13,510,3333.6
2026-08-10T04:35:55.4394110-04:00,14,531.45,1172.8
2026-08-10T04:36:10.4476375-04:00,13,524.78,753.3
2026-08-10T04:36:25.4673801-04:00,13,551.59,1168.9
2026-08-10T04:36:40.4823344-04:00,13,578.31,1575.1
2026-08-10T04:36:55.5068252-04:00,13,597.61,2028.1
2026-08-10T04:37:10.5254698-04:00,13,613.27,2180.9
